"Your search returned no results.","Netika atrasta neviena prece"
"You saved the address.","Adrese saglabāta"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Konts ar šādu e-pasta adresi jau eksistē, lūdzu spiediet <a href=""%1"">šeit</a>, lai piekļūtu savam kontam."
"Read Details","Vairāk informācijas",module,Magento_AdminNotification
"Mark as Read","Atzīmēt kā izlasītu",module,Magento_AdminNotification
"Are you sure?","Vai esat pārliecināts?",module,Magento_AdminNotification
Remove,Dzēst,module,Magento_AdminNotification
"Messages Inbox","Ziņu iesūtne",module,Magento_AdminNotification
"You have %1 new system messages","Jums ir %1 jaunas sistēmas ziņas",module,Magento_AdminNotification
"You have %1 new system message","Jums ir %1 jauna sistēmas ziņa",module,Magento_AdminNotification
"Incoming Message","Ienākošā ziņa",module,Magento_AdminNotification
"close","aizvērt",module,Magento_AdminNotification
"Notifications","Paziņojumi",module,Magento_AdminNotification
"The message has been marked as Read.","Ziņa atzīmēta kā izlasīta.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Kļūdas dēļ nevarēja atzīmēt ziņu kā izlasītu.",module,Magento_AdminNotification
"Please select messages.","Izvēlieties ziņas.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Kopā %1 ziņa(s) atzīmētas kā izlasītas.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Pavisam nodzēstas %1 ziņa(s).",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Nevar nodzēst ziņu kļūdas dēļ.",module,Magento_AdminNotification
"The message has been removed.","Ziņa ir nodzēsta.",module,Magento_AdminNotification
"1 Hour","1 stunda",module,Magento_AdminNotification
"2 Hours","2 stundas",module,Magento_AdminNotification
"6 Hours","6 stundas",module,Magento_AdminNotification
"12 Hours","12 stundas",module,Magento_AdminNotification
"24 Hours","24 stundas",module,Magento_AdminNotification
critical,kritisks,module,Magento_AdminNotification
major,svarīgs,module,Magento_AdminNotification
minor,mazsvarīgs,module,Magento_AdminNotification
notice,paziņojums,module,Magento_AdminNotification
"Wrong message type","Nepareizs ziņas veids",module,Magento_AdminNotification
"Wrong notification ID specified.","Norādīts nepareizs paziņojuma ID.",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Ejiet uz <a href=""%1"">Keša pārvaldība</a> un atjaunojiet keša veidus.",module,Magento_AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Nav iespējams sinhronizēt vienu vai vairākus mēdiju failus. Varāk informācijas log failā.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Mēdiju failu sinhronizācija ir pabeigta.",module,Magento_AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Nav pareizi nokonfigurēts web serveris, tas ļauj piekļūt sensitīviem failiem. Sazinieties ar savu hostinga kompāniju.",module,Magento_AdminNotification
"System Messages:","Sistēmas paziņojumi:",module,Magento_AdminNotification
"Critical System Messages","Kristiski sistēmas paziņojumi",module,Magento_AdminNotification
"Major System Messages","Svarīgi sistēmas paziņojumi",module,Magento_AdminNotification
"System messages","Sistēmas paziņojumi",module,Magento_AdminNotification
"Close","Aizvērt",module,Magento_AdminNotification
"See All (","Skatīt visas (",module,Magento_AdminNotification
"Please correct the data sent.","Izlabojiet nosūtītos datus.",module,Magento_AdvancedPricingImportExport
"Entity type model '%1' is not found","Produkta veida modelis '%1' nav atrasts",module,Magento_AdvancedPricingImportExport
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Produkta veida modelim jābūt piemēram
\Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType",module,Magento_AdvancedPricingImportExport
"There are no product types available for export","Eksportam nav pieejami produkta veidi",module,Magento_AdvancedPricingImportExport
"We can't find the role for the user you wanted.","Nevar atrast nepieciešamo lietotāja lomu.",module,Magento_Authorization
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Notikusi kļūda kompilējot atļauto resursu sarakstu. Vairāk informācijas noraidījumu log failā.",module,Magento_Authorization
"You created the order.","Jūs izveidojāt pasūtījumu.",module,Magento_Authorizenet
"Order saving error: %1","Kļūda saglabājot pasūtījumu: %1",module,Magento_Authorizenet
"Please choose a payment method.","Izvēlieties maksāšanas veidu.",module,Magento_Authorizenet
"We can't process your order right now. Please try again later.","Nevaram pašlaik apstrādāt Jūsu pasūtījumu. Mēģiniet vēlāk.",module,Magento_Authorizenet
"Credit Card: xxxx-%1","Kredītkarte: xxxx-%1",module,Magento_Authorizenet
"amount %1","skaits %1",module,Magento_Authorizenet
failed.,neizdevās.,module,Magento_Authorizenet
successful.,veiksmīgi.,module,Magento_Authorizenet
"Authorize.Net Transaction ID %1.","Authorize.Net transakcijas ID %1.",module,Magento_Authorizenet
authorize,autorizēt,module,Magento_Authorizenet
"authorize and capture","autorizēt un saņemt",module,Magento_Authorizenet
capture,saņemt,module,Magento_Authorizenet
refund,atmaksāt,module,Magento_Authorizenet
void,anulēt,module,Magento_Authorizenet
"Gateway error: %1","Vārtejas kļūda: %1",module,Magento_Authorizenet
"Something went wrong in the payment gateway.","Notikusi kļūda maksājuma vārtejā.",module,Magento_Authorizenet
"Invalid amount for capture.","Nepareiza summa saņemšanai.",module,Magento_Authorizenet
"Payment capturing error.","Maksājuma saņemšanas kļūda.",module,Magento_Authorizenet
"Invalid transaction ID.","Nepareizs transakcijas ID.",module,Magento_Authorizenet
"Payment voiding error.","Maksājuma anulācijas kļūda.",module,Magento_Authorizenet
"Invalid amount for refund.","Nepareiza atmaksas summa.",module,Magento_Authorizenet
"Payment refunding error.","Atmaksas maksājuma kļūda.",module,Magento_Authorizenet
"The transaction was declined because the response hash validation failed.","Transakcija tika atcelta, jo atbildes hash validācija bija nepareiza.",module,Magento_Authorizenet
"This payment didn't work out because we can't find this order.","Maksājums neizdevās, jo nevar atrast šo pasūtījumu.",module,Magento_Authorizenet
"There was a payment authorization error.","Maksājuma autorizācijas kļūda.",module,Magento_Authorizenet
"Please enter a transaction ID to authorize this payment.","Ievadiet transakcijas ID lai autorizētu šo maksājumu.",module,Magento_Authorizenet
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Kļūda: samaksātā summa neatbilst pasūtījuma summai. Izlabojiet un mēģiniet vēlreiz.",module,Magento_Authorizenet
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transakcija %1 tika apstiprināta. Summa %2. Transakcijas statuss ""%3""",module,Magento_Authorizenet
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transakcija %1 tika anulēta/noraidīta. Transakcijas statuss ir ""%2"". Summa %3.",module,Magento_Authorizenet
"Authorize Only","Tikai autorizācija",module,Magento_Authorizenet
"Authorize and Capture","Autorizēt un saņemt",module,Magento_Authorizenet
